"date","close","open","high","low","volume","sma"
"25.09.2018",319.62,333.26,333.89,318.02,"800.31K",233.12649
"24.09.2018",331.38,317,334.15,313.34,"1.04M",233.00077
"21.09.2018",319.68,324.42,330.11,319.3,"643.84K",232.85757
"20.09.2018",323.08,318.88,325.28,316.69,"520.63K",232.73101
"19.09.2018",315.81,315.5,319.5,310.65,"799.45K",232.59911
"18.09.2018",315.08,323.15,331.99,314.5,"827.92K",232.47746
"17.09.2018",322.26,323.93,328.69,317.11,"530.89K",232.35652
"14.09.2018",325.04,321.61,329.52,318.25,"745.36K",232.22469
"13.09.2018",320.67,320.31,332.83,319.6,"532.12K",232.0884
"12.09.2018",316.9,318,321.42,310.79,"696.31K",231.95813
"11.09.2018",318.73,317.31,326.45,315.97,"568.06K",231.83303
"10.09.2018",319.43,327.72,329.25,318.36,"426.17K",231.70487
"07.09.2018",326.5,320,332.5,317.77,"554.47K",231.57529
"06.09.2018",320.76,328.97,331.7,320.31,"992.92K",231.43487
"05.09.2018",328,339.91,340.68,323.01,"1.27M",231.30253
"04.09.2018",342.27,340,345.6,336.97,"708.06K",231.15907
"31.08.2018",342.41,338.44,343.37,336.55,"883.62K",230.99397
"30.08.2018",340.15,375.41,375.41,339.33,"1.83M",230.82817
"29.08.2018",377.44,379.4,381.01,374,"638.10K",230.66525
"28.08.2018",378.18,374.95,381.9,372.28,"578.89K",230.44618
"27.08.2018",374.85,370.98,377.57,368.77,"658.41K",230.22535
"24.08.2018",367.54,350.07,373.12,349.17,"1.45M",230.00885
"23.08.2018",348.33,342.5,355,341.86,"653.95K",229.80265
"22.08.2018",344.93,332.92,345.98,328,"1.66M",229.62468
"21.08.2018",328.45,319,335.66,315.15,"1.18M",229.45129
"20.08.2018",319.75,323.83,325.21,315.25,"863.42K",229.3022
"17.08.2018",324.2,333.29,334.66,321.57,"860.17K",229.16578
"16.08.2018",334.8,349.04,351,333.61,"717.04K",229.02222
"15.08.2018",344.79,355,357.49,339.94,"1.16M",228.86219
"14.08.2018",363.51,362.36,365.61,355.31,"267.54K",228.68655
"13.08.2018",358.86,371.95,371.95,357.09,"726.10K",228.48196
"10.08.2018",372.35,378.86,384.97,365.61,"986.53K",228.28381
"09.08.2018",384.39,337.88,394.92,337.19,"2.10M",228.06454
"08.08.2018",344.43,348.07,356.13,343.01,"672.40K",227.82623
"07.08.2018",347.42,349.52,351.51,343.23,"893.93K",227.64821
"06.08.2018",348.52,342.82,349.74,340.4,"339.87K",227.46508
"03.08.2018",343.88,340.89,344.11,336.5,"380.95K",227.27969
"02.08.2018",339.27,343.09,345,335.08,"662.04K",227.10086
"01.08.2018",346.14,342.06,353.26,339.8,"580.90K",226.92856
"31.07.2018",342.91,342.69,354.56,339.52,"658.36K",226.74515
"30.07.2018",343.25,355.97,356.62,340.44,"787.16K",226.56616
"27.07.2018",354.57,365.63,366.43,350.22,"562.50K",226.3861
"26.07.2018",363.73,355.61,367,355.61,"397.43K",226.18798
"25.07.2018",364.99,355.99,366.56,351.87,"516.29K",225.97506
"24.07.2018",353,366.79,368.11,350.33,"671.67K",225.75953
"23.07.2018",363.29,373.8,374.98,357.25,"961.28K",225.56196
"20.07.2018",373.46,372.93,381.5,368.74,"779.12K",225.34776
"19.07.2018",374.61,366.51,375.45,363.7,"948.09K",225.11706
"18.07.2018",369.35,360.23,377.66,359.7,"2.05M",224.88384
"17.07.2018",359.8,339,362.74,332.11,"1.71M",224.65811
"16.07.2018",343.25,328.76,346.66,326.26,"1.03M",224.44662
"13.07.2018",327.68,318,329.15,315.13,"935.10K",224.26041
"12.07.2018",318.05,306.09,321.61,303.67,"715.92K",224.09805
